Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Subscriber Type
0h 17m 11s,6/30/2014 9:50,Massachusetts Ave & Dupont Circle NW,31200,6/30/2014 10:07,Park Rd & Holmead Pl NW,31602,W21314,Registered
0h 27m 4s,6/30/2014 9:50,M St & New Jersey Ave SE,31208,6/30/2014 10:17,17th St & Massachusetts Ave NW,31267,W20538,Registered
0h 7m 44s,6/30/2014 9:50,14th & Belmont St NW,31119,6/30/2014 9:58,17th & Rhode Island Ave NW,31239,W00476,Registered
0h 9m 29s,6/30/2014 9:50,20th St & Florida Ave NW,31110,6/30/2014 10:00,22nd & I St NW / Foggy Bottom,31257,W21032,Registered
0h 7m 15s,6/30/2014 9:50,15th St & Massachusetts Ave SE,31626,6/30/2014 9:57,3rd & D St SE,31605,W21597,Registered
0h 7m 35s,6/30/2014 9:51,20th St & Florida Ave NW,31110,6/30/2014 9:58,Adams Mill & Columbia Rd NW,31104,W20289,Registered
0h 5m 14s,6/30/2014 9:51,11th & K St NW,31263,6/30/2014 9:56,McPherson Square / 14th & H St NW,31216,W01361,Registered
0h 5m 33s,6/30/2014 9:51,22nd & I St NW / Foggy Bottom,31257,6/30/2014 9:56,M St & Pennsylvania Ave NW,31246,W00192,Registered
0h 16m 26s,6/30/2014 9:51,11th & K St NW,31263,6/30/2014 10:08,15th & East Capitol St NE,31630,W00208,Registered
0h 1m 59s,6/30/2014 9:51,7th & F St NW / National Portrait Gallery,31232,6/30/2014 9:53,6th St & Indiana Ave NW,31264,W21463,Registered
0h 8m 13s,6/30/2014 9:52,18th & M St NW,31221,6/30/2014 10:00,California St & Florida Ave NW,31116,W21179,Registered
0h 49m 59s,6/30/2014 9:52,Jefferson Memorial,31249,6/30/2014 10:42,12th & Hayes St /  Pentagon City Metro,31005,W20788,Casual
0h 31m 25s,6/30/2014 9:52,4th & M St SW,31108,6/30/2014 10:23,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,W21352,Casual
0h 49m 53s,6/30/2014 9:52,Jefferson Memorial,31249,6/30/2014 10:42,12th & Hayes St /  Pentagon City Metro,31005,W20367,Casual
0h 7m 47s,6/30/2014 9:52,Massachusetts Ave & Dupont Circle NW,31200,6/30/2014 10:00,22nd & I St NW / Foggy Bottom,31257,W00595,Registered
1h 25m 34s,6/30/2014 9:52,S Joyce & Army Navy Dr,31006,6/30/2014 11:18,6th St & Indiana Ave NW,31264,W01393,Casual
0h 10m 21s,6/30/2014 9:52,Braddock Rd Metro,31047,6/30/2014 10:03,Prince St & Union St,31041,W00343,Registered
0h 6m 38s,6/30/2014 9:53,Friendship Blvd & Willard Ave,32040,6/30/2014 9:59,River Rd & Landy Ln,32046,W00097,Registered
0h 3m 42s,6/30/2014 9:53,New Hampshire Ave & T St NW,31229,6/30/2014 9:57,Massachusetts Ave & Dupont Circle NW,31200,W01307,Registered
0h 7m 6s,6/30/2014 9:53,6th St & Indiana Ave NW,31264,6/30/2014 10:00,5th & K St NW,31600,W20901,Registered
0h 10m 48s,6/30/2014 9:53,1st & H St NW,31638,6/30/2014 10:04,7th & F St NW / National Portrait Gallery,31232,W00439,Casual
0h 7m 41s,6/30/2014 9:53,39th & Calvert St NW / Stoddert,31306,6/30/2014 10:01,Wisconsin Ave & O St NW,31312,W20950,Registered
0h 21m 28s,6/30/2014 9:53,37th & O St NW / Georgetown University,31236,6/30/2014 10:15,Lincoln Memorial,31258,W21366,Registered
0h 7m 46s,6/30/2014 9:53,12th & L St NW,31251,6/30/2014 10:01,6th St & Indiana Ave NW,31264,W00205,Registered
0h 18m 14s,6/30/2014 9:54,McPherson Square / 14th & H St NW,31216,6/30/2014 10:12,North Capitol St & F St NW,31624,W01348,Registered
0h 7m 52s,6/30/2014 9:54,Market Square / King St & Royal St,31042,6/30/2014 10:02,Market Square / King St & Royal St,31042,W20024,Casual
0h 2m 5s,6/30/2014 9:54,N Quincy St & Wilson Blvd,31039,6/30/2014 9:56,Virginia Square Metro / N Monroe St & 9th St N,31024,W00664,Registered
0h 22m 38s,6/30/2014 9:54,12th & Hayes St /  Pentagon City Metro,31005,6/30/2014 10:17,S Four Mile Run Dr & S Shirlington Rd,31057,W01158,Registered
0h 14m 53s,6/30/2014 9:54,1st & M St NE,31603,6/30/2014 10:09,USDA / 12th & Independence Ave SW,31217,W01377,Registered
0h 7m 7s,6/30/2014 9:55,4th & D St NW / Judiciary Square,31621,6/30/2014 10:02,4th & E St SW,31244,W20823,Registered
0h 29m 56s,6/30/2014 9:55,Jefferson Dr & 14th St SW,31247,6/30/2014 10:25,5th & F St NW,31620,W20955,Casual
0h 15m 10s,6/30/2014 9:55,14th & R St NW,31202,6/30/2014 10:10,15th & K St NW,31254,W00792,Registered
0h 12m 0s,6/30/2014 9:55,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,6/30/2014 10:07,10th St & Constitution Ave NW,31219,W01394,Registered
1h 8m 48s,6/30/2014 9:55,New York Ave & 15th St NW,31222,6/30/2014 11:04,Lincoln Memorial,31258,W00714,Casual
0h 16m 39s,6/30/2014 9:55,14th & R St NW,31202,6/30/2014 10:12,18th & M St NW,31221,W20037,Registered
2h 19m 26s,6/30/2014 9:55,5th St & Massachusetts Ave NW,31265,6/30/2014 12:15,5th & K St NW,31600,W00088,Casual
0h 9m 43s,6/30/2014 9:55,14th & R St NW,31202,6/30/2014 10:05,8th & H St NW,31228,W20388,Registered
0h 3m 3s,6/30/2014 9:55,18th St & Wyoming Ave NW,31114,6/30/2014 9:58,Massachusetts Ave & Dupont Circle NW,31200,W00797,Registered
0h 35m 51s,6/30/2014 9:55,20th & O St NW / Dupont South,31234,6/30/2014 10:31,Constitution Ave & 2nd St NW/DOL,31271,W21599,Casual
0h 17m 16s,6/30/2014 9:56,Neal St & Trinidad Ave NE,31512,6/30/2014 10:13,3rd & Tingey St SE,31634,W00800,Registered
0h 1m 54s,6/30/2014 9:56,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,6/30/2014 9:58,39th & Veazey St NW,31308,W00491,Registered
0h 35m 14s,6/30/2014 9:56,20th & O St NW / Dupont South,31234,6/30/2014 10:31,Constitution Ave & 2nd St NW/DOL,31271,W20011,Casual
0h 28m 30s,6/30/2014 9:56,3rd St & Pennsylvania Ave SE,31269,6/30/2014 10:25,Thomas Circle,31241,W00616,Casual
0h 20m 19s,6/30/2014 9:56,5th St & Massachusetts Ave NW,31265,6/30/2014 10:17,18th St & Pennsylvania Ave NW,31242,W21356,Registered
0h 28m 8s,6/30/2014 9:57,3rd St & Pennsylvania Ave SE,31269,6/30/2014 10:25,Thomas Circle,31241,W21373,Casual
0h 23m 54s,6/30/2014 9:57,Thomas Circle,31241,6/30/2014 10:20,North Capitol St & G Pl NE,31637,W20017,Registered
0h 6m 6s,6/30/2014 9:57,12th & L St NW,31251,6/30/2014 10:03,10th St & Constitution Ave NW,31219,W21449,Casual
0h 27m 11s,6/30/2014 9:57,Park Rd & Holmead Pl NW,31602,6/30/2014 10:24,17th & K St NW / Farragut Square,31233,W00235,Registered
0h 27m 55s,6/30/2014 9:57,Thomas Circle,31241,6/30/2014 10:25,5th & F St NW,31620,W20775,Casual
0h 27m 47s,6/30/2014 9:57,Thomas Circle,31241,6/30/2014 10:25,5th & F St NW,31620,W21000,Casual
2h 17m 32s,6/30/2014 9:57,5th St & Massachusetts Ave NW,31265,6/30/2014 12:15,5th & K St NW,31600,W20014,Casual
0h 27m 31s,6/30/2014 9:57,Jefferson Dr & 14th St SW,31247,6/30/2014 10:25,5th & F St NW,31620,W20753,Casual
0h 26m 58s,6/30/2014 9:58,Jefferson Dr & 14th St SW,31247,6/30/2014 10:25,5th & F St NW,31620,W21359,Casual
0h 3m 31s,6/30/2014 9:58,8th & F St NE,31631,6/30/2014 10:01,Columbus Circle / Union Station,31623,W01092,Registered
0h 26m 42s,6/30/2014 9:58,Jefferson Dr & 14th St SW,31247,6/30/2014 10:25,5th & F St NW,31620,W00588,Casual
0h 14m 34s,6/30/2014 9:58,7th & T St NW,31109,6/30/2014 10:12,18th & M St NW,31221,W01396,Registered
0h 6m 28s,6/30/2014 9:58,14th & Belmont St NW,31119,6/30/2014 10:04,Thomas Circle,31241,W20142,Registered
0h 3m 28s,6/30/2014 9:58,Thomas Circle,31241,6/30/2014 10:01,17th & K St NW,31213,W20927,Registered
0h 2m 28s,6/30/2014 9:58,8th & East Capitol St NE,31629,6/30/2014 10:00,4th & East Capitol St NE,31618,W01414,Registered
0h 8m 9s,6/30/2014 9:58,14th & Belmont St NW,31119,6/30/2014 10:07,Massachusetts Ave & Dupont Circle NW,31200,W21341,Registered
0h 14m 14s,6/30/2014 9:59,8th & H St NW,31228,6/30/2014 10:13,Smithsonian / Jefferson Dr & 12th St SW,31248,W21447,Casual
0h 24m 55s,6/30/2014 9:59,McPherson Square / 14th & H St NW,31216,6/30/2014 10:24,17th & K St NW / Farragut Square,31233,W21282,Registered
0h 19m 35s,6/30/2014 9:59,7th & F St NW / National Portrait Gallery,31232,6/30/2014 10:19,21st & M St NW,31212,W00930,Registered
0h 2m 43s,6/30/2014 10:00,3rd & H St NW,31604,6/30/2014 10:02,North Capitol St & F St NW,31624,W00693,Registered
0h 6m 12s,6/30/2014 10:00,18th St & Pennsylvania Ave NW,31242,6/30/2014 10:06,20th & O St NW / Dupont South,31234,W00891,Registered
0h 12m 42s,6/30/2014 10:00,Wisconsin Ave & O St NW,31312,6/30/2014 10:12,Thomas Circle,31241,W01240,Registered
0h 5m 28s,6/30/2014 10:00,California St & Florida Ave NW,31116,6/30/2014 10:05,14th & V St NW,31101,W01281,Registered
0h 19m 49s,6/30/2014 10:00,3rd & G St SE,31625,6/30/2014 10:20,14th & G St NW,31238,W21043,Registered
0h 1m 39s,6/30/2014 10:00,1st & N St  SE,31209,6/30/2014 10:02,3rd & Tingey St SE,31634,W00533,Registered
0h 8m 3s,6/30/2014 10:01,4th & D St NW / Judiciary Square,31621,6/30/2014 10:09,4th & E St SW,31244,W21631,Registered
0h 58m 28s,6/30/2014 10:01,Massachusetts Ave & Dupont Circle NW,31200,6/30/2014 10:59,Jefferson Dr & 14th St SW,31247,W01280,Casual
0h 9m 18s,6/30/2014 10:01,17th St & Massachusetts Ave NW,31267,6/30/2014 10:10,18th & M St NW,31221,W21127,Registered
0h 10m 20s,6/30/2014 10:01,California St & Florida Ave NW,31116,6/30/2014 10:11,Thomas Circle,31241,W21179,Casual
0h 7m 33s,6/30/2014 10:01,3rd & D St SE,31605,6/30/2014 10:09,Columbus Circle / Union Station,31623,W21668,Registered
0h 10m 31s,6/30/2014 10:01,5th St & Massachusetts Ave NW,31265,6/30/2014 10:12,17th & Rhode Island Ave NW,31239,W20958,Registered
0h 6m 6s,6/30/2014 10:02,Minnesota Ave Metro/DOES,31703,6/30/2014 10:08,Anacostia Ave & Benning Rd NE / River Terrace ,31708,W20603,Registered
0h 6m 27s,6/30/2014 10:02,M St & Pennsylvania Ave NW,31246,6/30/2014 10:09,20th & L St NW,31250,W20123,Registered
0h 57m 11s,6/30/2014 10:02,Massachusetts Ave & Dupont Circle NW,31200,6/30/2014 10:59,Jefferson Dr & 14th St SW,31247,W00103,Casual
0h 8m 1s,6/30/2014 10:02,14th & R St NW,31202,6/30/2014 10:10,Massachusetts Ave & Dupont Circle NW,31200,W00880,Registered
0h 3m 2s,6/30/2014 10:03,King St Metro,31048,6/30/2014 10:06,Commerce St & Fayette St,31045,W01309,Registered
0h 11m 41s,6/30/2014 10:03,New Jersey Ave & R St NW,31509,6/30/2014 10:15,Massachusetts Ave & Dupont Circle NW,31200,W20938,Registered
0h 5m 40s,6/30/2014 10:04,New York Ave & 15th St NW,31222,6/30/2014 10:09,17th & K St NW,31213,W20634,Registered
0h 5m 6s,6/30/2014 10:04,15th St & Massachusetts Ave SE,31626,6/30/2014 10:09,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,W20449,Registered
0h 3m 37s,6/30/2014 10:04,N Veitch  & 20th St N,31029,6/30/2014 10:08,Wilson Blvd & Franklin Rd,31020,W00887,Registered
0h 16m 9s,6/30/2014 10:04,5th St & Massachusetts Ave NW,31265,6/30/2014 10:21,22nd & I St NW / Foggy Bottom,31257,W21248,Registered
0h 18m 18s,6/30/2014 10:04,Calvert & Biltmore St NW,31106,6/30/2014 10:23,Park Rd & Holmead Pl NW,31602,W00429,Casual
0h 17m 35s,6/30/2014 10:05,22nd & I St NW / Foggy Bottom,31257,6/30/2014 10:22,14th & V St NW,31101,W00736,Registered
0h 13m 23s,6/30/2014 10:05,7th & T St NW,31109,6/30/2014 10:18,20th St & Florida Ave NW,31110,W00093,Registered
0h 0m 55s,6/30/2014 10:05,4th & E St SW,31244,6/30/2014 10:06,4th & E St SW,31244,W00131,Registered
1h 17m 9s,6/30/2014 10:06,McPherson Square / 14th & H St NW,31216,6/30/2014 11:23,McPherson Square / 14th & H St NW,31216,W01361,Casual
0h 4m 55s,6/30/2014 10:07,USDA / 12th & Independence Ave SW,31217,6/30/2014 10:11,4th & E St SW,31244,W20557,Registered
0h 3m 52s,6/30/2014 10:07,Georgia Ave & Emerson St NW,31405,6/30/2014 10:11,14th St Heights / 14th & Crittenden St NW,31402,W21694,Casual
1h 34m 46s,6/30/2014 10:07,McPherson Square / 14th & H St NW,31216,6/30/2014 11:42,13th St & New York Ave NW,31227,W20677,Casual
0h 18m 52s,6/30/2014 10:07,N Veitch  & 20th St N,31029,6/30/2014 10:26,Lincoln Memorial,31258,W20051,Registered
0h 19m 42s,6/30/2014 10:07,4th & E St SW,31244,6/30/2014 10:27,White House [17th & State Pl NW],31210,W21093,Registered
0h 12m 37s,6/30/2014 10:07,Thomas Circle,31241,6/30/2014 10:20,Harvard St & Adams Mill Rd NW,31112,W20752,Registered
0h 24m 30s,6/30/2014 10:07,Thomas Circle,31241,6/30/2014 10:32,Lincoln Memorial,31258,W21530,Casual
0h 28m 33s,6/30/2014 10:07,13th & U St NW,31268,6/30/2014 10:36,Wisconsin Ave & O St NW,31312,W20432,Registered
0h 17m 27s,6/30/2014 10:08,Columbus Circle / Union Station,31623,6/30/2014 10:25,12th & L St NW,31251,W01092,Registered
0h 23m 6s,6/30/2014 10:08,Calvert & Biltmore St NW,31106,6/30/2014 10:31,M St & Pennsylvania Ave NW,31246,W01321,Casual
1h 33m 59s,6/30/2014 10:08,McPherson Square / 14th & H St NW,31216,6/30/2014 11:42,13th St & New York Ave NW,31227,W01337,Casual
0h 23m 13s,6/30/2014 10:08,Calvert & Biltmore St NW,31106,6/30/2014 10:31,M St & Pennsylvania Ave NW,31246,W00756,Casual
0h 23m 41s,6/30/2014 10:08,Thomas Circle,31241,6/30/2014 10:31,Lincoln Memorial,31258,W00924,Casual
0h 25m 51s,6/30/2014 10:08,15th & K St NW,31254,6/30/2014 10:34,7th & T St NW,31109,W00164,Registered
0h 10m 1s,6/30/2014 10:08,Clarendon Metro / Wilson Blvd & N Highland St,31022,6/30/2014 10:18,Lynn & 19th St North,31014,W21176,Registered
0h 26m 17s,6/30/2014 10:08,Park Rd & Holmead Pl NW,31602,6/30/2014 10:34,15th & K St NW,31254,W00764,Casual
0h 23m 21s,6/30/2014 10:08,Thomas Circle,31241,6/30/2014 10:31,Lincoln Memorial,31258,W20313,Casual
0h 12m 33s,6/30/2014 10:09,Columbus Circle / Union Station,31623,6/30/2014 10:21,M St & New Jersey Ave SE,31208,W21668,Registered
0h 8m 23s,6/30/2014 10:09,New Jersey Ave & R St NW,31509,6/30/2014 10:17,8th & H St NW,31228,W20398,Registered
0h 11m 4s,6/30/2014 10:09,3rd & H St NW,31604,6/30/2014 10:21,USDA / 12th & Independence Ave SW,31217,W20194,Registered
0h 4m 6s,6/30/2014 10:10,11th & K St NW,31263,6/30/2014 10:14,7th & F St NW / National Portrait Gallery,31232,W20531,Registered
0h 32m 44s,6/30/2014 10:10,Court House Metro / Wilson Blvd & N Uhle St,31017,6/30/2014 10:42,13th & U St NW,31268,W20070,Registered
0h 8m 34s,6/30/2014 10:10,17th St & Massachusetts Ave NW,31267,6/30/2014 10:18,8th & H St NW,31228,W00182,Registered
0h 4m 45s,6/30/2014 10:10,Washington Blvd & 10th St N,31026,6/30/2014 10:15,Court House Metro / Wilson Blvd & N Uhle St,31017,W00230,Registered
0h 14m 16s,6/30/2014 10:10,13th & U St NW,31268,6/30/2014 10:24,19th St & Constitution Ave NW,31235,W00515,Registered
1h 20m 12s,6/30/2014 10:11,17th & K St NW,31213,6/30/2014 11:32,17th & K St NW,31213,W01322,Casual
0h 37m 56s,6/30/2014 10:12,20th & E St NW,31204,6/30/2014 10:50,20th & E St NW,31204,W21573,Casual
0h 3m 46s,6/30/2014 10:12,14th & V St NW,31101,6/30/2014 10:16,15th & P St NW,31201,W01281,Registered
0h 27m 20s,6/30/2014 10:12,1st & H St NW,31638,6/30/2014 10:39,14th & D St NW / Ronald Reagan Building,31231,W20439,Casual
0h 30m 0s,6/30/2014 10:12,8th & H St NW,31228,6/30/2014 10:42,10th St & Constitution Ave NW,31219,W21385,Casual
0h 12m 58s,6/30/2014 10:12,3rd & H St NE,31616,6/30/2014 10:25,M St & Delaware Ave NE,31627,W20072,Registered
0h 6m 46s,6/30/2014 10:13,15th & East Capitol St NE,31630,6/30/2014 10:19,Potomac & Pennsylvania Ave SE,31606,W00208,Casual
0h 9m 58s,6/30/2014 10:13,25th St & Pennsylvania Ave NW,31237,6/30/2014 10:23,37th & O St NW / Georgetown University,31236,W20866,Registered
0h 11m 33s,6/30/2014 10:13,North Capitol St & F St NW,31624,6/30/2014 10:24,Eastern Market / 7th & North Carolina Ave SE,31610,W01025,Registered
0h 13m 32s,6/30/2014 10:13,12th & Newton St NE,31501,6/30/2014 10:26,12th & Irving St NE,31511,W01102,Registered
1h 18m 24s,6/30/2014 10:13,17th & K St NW,31213,6/30/2014 11:32,17th & K St NW,31213,W00087,Casual
0h 16m 50s,6/30/2014 10:13,5th St & Massachusetts Ave NW,31265,6/30/2014 10:30,3rd & Tingey St SE,31634,W21442,Registered
0h 6m 33s,6/30/2014 10:14,Park Rd & Holmead Pl NW,31602,6/30/2014 10:20,New Hampshire Ave & T St NW,31229,W21314,Casual
0h 5m 10s,6/30/2014 10:14,12th & L St NW,31251,6/30/2014 10:19,McPherson Square / 14th & H St NW,31216,W00019,Registered
0h 4m 21s,6/30/2014 10:14,14th & G St NW,31238,6/30/2014 10:18,11th & K St NW,31263,W20501,Registered
0h 4m 51s,6/30/2014 10:14,Potomac & Pennsylvania Ave SE,31606,6/30/2014 10:19,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,W20915,Registered
0h 5m 48s,6/30/2014 10:14,Fairfax Dr & Wilson Blvd,31023,6/30/2014 10:20,N Quincy St & Wilson Blvd,31039,W20821,Registered
0h 2m 30s,6/30/2014 10:15,Adams Mill & Columbia Rd NW,31104,6/30/2014 10:17,18th St & Wyoming Ave NW,31114,W20289,Registered
0h 32m 45s,6/30/2014 10:15,Lynn & 19th St North,31014,6/30/2014 10:48,8th & H St NW,31228,W21394,Casual
0h 11m 33s,6/30/2014 10:15,1st & M St NE,31603,6/30/2014 10:27,6th St & Indiana Ave NW,31264,W01332,Registered
3h 5m 24s,6/30/2014 10:15,Constitution Ave & 2nd St NW/DOL,31271,6/30/2014 13:21,Constitution Ave & 2nd St NW/DOL,31271,W00143,Casual
0h 7m 52s,6/30/2014 10:15,21st & M St NW,31212,6/30/2014 10:23,McPherson Square / 14th & H St NW,31216,W20246,Registered
3h 4m 42s,6/30/2014 10:16,Constitution Ave & 2nd St NW/DOL,31271,6/30/2014 13:20,Constitution Ave & 2nd St NW/DOL,31271,W20974,Casual
