Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Subscriber Type
0h 7m 51s,6/30/2014 0:00,37th & O St NW / Georgetown University,31236,6/30/2014 0:08,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,W00584,Registered
12h 2m 56s,6/30/2014 0:00,Columbia Rd & Belmont St NW,31113,6/30/2014 12:03,Lamont & Mt Pleasant NW,31107,W01497,Registered
0h 12m 51s,6/30/2014 0:01,17th & Corcoran St NW,31214,6/30/2014 0:14,Park Rd & Holmead Pl NW,31602,W01099,Registered
0h 11m 46s,6/30/2014 0:01,Connecticut Ave & Newark St NW / Cleveland Park,31305,6/30/2014 0:12,14th & Rhode Island Ave NW,31203,W21642,Registered
0h 17m 5s,6/30/2014 0:01,Thomas Circle,31241,6/30/2014 0:18,7th & T St NW,31109,W00334,Registered
0h 11m 7s,6/30/2014 0:02,Calvert St & Woodley Pl NW,31121,6/30/2014 0:13,11th & Kenyon St NW,31102,W00295,Registered
0h 10m 51s,6/30/2014 0:03,Calvert St & Woodley Pl NW,31121,6/30/2014 0:13,11th & Kenyon St NW,31102,W20118,Registered
0h 22m 6s,6/30/2014 0:03,7th & R St NW / Shaw Library,31245,6/30/2014 0:25,Potomac & Pennsylvania Ave SE,31606,W20915,Registered
1h 22m 34s,6/30/2014 0:04,M St & Delaware Ave NE,31627,6/30/2014 1:27,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068,W20418,Casual
0h 14m 59s,6/30/2014 0:04,Lincoln Memorial,31258,6/30/2014 0:19,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,W00649,Casual
0h 21m 57s,6/30/2014 0:05,Lincoln Memorial,31258,6/30/2014 0:27,18th St & Pennsylvania Ave NW,31242,W20844,Casual
0h 3m 42s,6/30/2014 0:05,Adams Mill & Columbia Rd NW,31104,6/30/2014 0:09,Calvert St & Woodley Pl NW,31121,W01291,Registered
0h 21m 11s,6/30/2014 0:06,Lincoln Memorial,31258,6/30/2014 0:27,18th St & Pennsylvania Ave NW,31242,W01299,Casual
0h 5m 8s,6/30/2014 0:06,15th & Euclid St  NW,31117,6/30/2014 0:11,Park Rd & Holmead Pl NW,31602,W20683,Registered
0h 20m 41s,6/30/2014 0:06,Lincoln Memorial,31258,6/30/2014 0:27,18th St & Pennsylvania Ave NW,31242,W20042,Casual
0h 20m 7s,6/30/2014 0:07,Lincoln Memorial,31258,6/30/2014 0:27,18th St & Pennsylvania Ave NW,31242,W21008,Casual
0h 2m 51s,6/30/2014 0:07,8th & H St NW,31228,6/30/2014 0:10,5th & K St NW,31600,W20047,Registered
0h 5m 7s,6/30/2014 0:09,Columbia Rd & Belmont St NW,31113,6/30/2014 0:14,14th & Belmont St NW,31119,W00821,Registered
0h 10m 39s,6/30/2014 0:10,13th & H St NE,31611,6/30/2014 0:21,8th & East Capitol St NE,31629,W21680,Casual
0h 6m 25s,6/30/2014 0:12,14th & V St NW,31101,6/30/2014 0:18,11th & M St NW,31266,W00411,Registered
0h 3m 23s,6/30/2014 0:12,25th St & Pennsylvania Ave NW,31237,6/30/2014 0:15,21st & M St NW,31212,W20690,Registered
0h 12m 27s,6/30/2014 0:12,New Hampshire Ave & T St NW,31229,6/30/2014 0:25,11th & Kenyon St NW,31102,W01265,Registered
0h 7m 49s,6/30/2014 0:13,13th & H St NE,31611,6/30/2014 0:21,8th & East Capitol St NE,31629,W20976,Casual
0h 6m 54s,6/30/2014 0:14,25th St & Pennsylvania Ave NW,31237,6/30/2014 0:21,17th & Rhode Island Ave NW,31239,W21541,Registered
0h 28m 37s,6/30/2014 0:16,C & O Canal & Wisconsin Ave NW,31225,6/30/2014 0:45,USDA / 12th & Independence Ave SW,31217,W20549,Registered
0h 9m 49s,6/30/2014 0:17,3000 Connecticut Ave NW / National Zoo,31307,6/30/2014 0:27,36th & Calvert St NW / Glover Park,31304,W00962,Registered
0h 6m 17s,6/30/2014 0:18,15th & K St NW,31254,6/30/2014 0:24,21st & M St NW,31212,W20294,Registered
0h 51m 23s,6/30/2014 0:18,19th St & Constitution Ave NW,31235,6/30/2014 1:10,14th & Rhode Island Ave NW,31203,W20416,Casual
0h 50m 53s,6/30/2014 0:19,19th St & Constitution Ave NW,31235,6/30/2014 1:09,14th & Rhode Island Ave NW,31203,W00854,Casual
0h 4m 28s,6/30/2014 0:20,14th & V St NW,31101,6/30/2014 0:24,California St & Florida Ave NW,31116,W20473,Registered
0h 26m 41s,6/30/2014 0:21,Jefferson Memorial,31249,6/30/2014 0:48,Jefferson Dr & 14th St SW,31247,W00572,Casual
0h 26m 1s,6/30/2014 0:22,Jefferson Memorial,31249,6/30/2014 0:48,Jefferson Dr & 14th St SW,31247,W00314,Casual
0h 25m 41s,6/30/2014 0:22,Jefferson Memorial,31249,6/30/2014 0:47,Jefferson Dr & 14th St SW,31247,W20437,Casual
0h 25m 23s,6/30/2014 0:22,Jefferson Memorial,31249,6/30/2014 0:47,Jefferson Dr & 14th St SW,31247,W20807,Casual
0h 3m 12s,6/30/2014 0:22,21st & M St NW,31212,6/30/2014 0:26,21st & I St NW,31205,W20690,Registered
0h 8m 18s,6/30/2014 0:23,Virginia Square Metro / N Monroe St & 9th St N,31024,6/30/2014 0:31,Barton St & 10th St N,31050,W00837,Casual
0h 4m 47s,6/30/2014 0:23,15th & East Capitol St NE,31630,6/30/2014 0:28,8th & East Capitol St NE,31629,W20846,Registered
0h 5m 2s,6/30/2014 0:24,14th & Rhode Island Ave NW,31203,6/30/2014 0:29,17th & Corcoran St NW,31214,W00275,Registered
0h 15m 18s,6/30/2014 0:24,5th & F St NW,31620,6/30/2014 0:39,8th & H St NW,31228,W20277,Casual
0h 15m 10s,6/30/2014 0:24,5th & F St NW,31620,6/30/2014 0:39,8th & H St NW,31228,W01246,Casual
0h 6m 18s,6/30/2014 0:25,5th St & Massachusetts Ave NW,31265,6/30/2014 0:31,Thomas Circle,31241,W00329,Casual
0h 10m 35s,6/30/2014 0:26,North Capitol St & F St NW,31624,6/30/2014 0:36,1st & K St SE,31628,W01392,Registered
0h 23m 16s,6/30/2014 0:26,12th & Irving St NE,31511,6/30/2014 0:49,13th St & New York Ave NW,31227,W20823,Registered
0h 3m 15s,6/30/2014 0:28,Lamont & Mt Pleasant NW,31107,6/30/2014 0:31,16th & Harvard St NW,31103,W00910,Registered
0h 33m 51s,6/30/2014 0:29,14th & V St NW,31101,6/30/2014 1:02,19th & East Capitol St SE,31601,W00553,Casual
0h 18m 46s,6/30/2014 0:29,18th St & Pennsylvania Ave NW,31242,6/30/2014 0:48,Constitution Ave & 2nd St NW/DOL,31271,W20844,Casual
0h 6m 3s,6/30/2014 0:30,18th St & Pennsylvania Ave NW,31242,6/30/2014 0:36,25th St & Pennsylvania Ave NW,31237,W21008,Registered
0h 5m 41s,6/30/2014 0:30,20th St & Florida Ave NW,31110,6/30/2014 0:35,7th & T St NW,31109,W01434,Registered
1h 53m 50s,6/30/2014 0:30,21st St & Constitution Ave NW,31261,6/30/2014 2:24,8th & H St NW,31228,W20574,Casual
0h 17m 19s,6/30/2014 0:30,18th St & Pennsylvania Ave NW,31242,6/30/2014 0:48,Constitution Ave & 2nd St NW/DOL,31271,W01299,Casual
0h 5m 52s,6/30/2014 0:31,20th & O St NW / Dupont South,31234,6/30/2014 0:37,New Hampshire Ave & T St NW,31229,W20754,Registered
0h 17m 0s,6/30/2014 0:31,18th St & Pennsylvania Ave NW,31242,6/30/2014 0:48,Constitution Ave & 2nd St NW/DOL,31271,W00231,Casual
0h 16m 24s,6/30/2014 0:31,18th St & Pennsylvania Ave NW,31242,6/30/2014 0:48,Constitution Ave & 2nd St NW/DOL,31271,W20042,Casual
0h 2m 48s,6/30/2014 0:32,15th & East Capitol St NE,31630,6/30/2014 0:34,Lincoln Park / 13th & East Capitol St NE ,31619,W20961,Registered
0h 30m 58s,6/30/2014 0:33,Lincoln Memorial,31258,6/30/2014 1:04,Lincoln Memorial,31258,W21174,Casual
0h 29m 50s,6/30/2014 0:33,Lincoln Memorial,31258,6/30/2014 1:03,Lincoln Memorial,31258,W20168,Casual
0h 10m 15s,6/30/2014 0:36,Lincoln Park / 13th & East Capitol St NE ,31619,6/30/2014 0:46,Columbus Circle / Union Station,31623,W21029,Registered
0h 7m 19s,6/30/2014 0:37,22nd & I St NW / Foggy Bottom,31257,6/30/2014 0:44,Thomas Circle,31241,W20590,Registered
0h 8m 35s,6/30/2014 0:45,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,6/30/2014 0:53,Neal St & Trinidad Ave NE,31512,W00493,Registered
0h 9m 37s,6/30/2014 0:45,M St & Pennsylvania Ave NW,31246,6/30/2014 0:54,21st & M St NW,31212,W01334,Registered
0h 9m 8s,6/30/2014 0:45,USDA / 12th & Independence Ave SW,31217,6/30/2014 0:54,1st & K St SE,31628,W21607,Registered
0h 8m 16s,6/30/2014 0:45,8th & H St NW,31228,6/30/2014 0:54,Metro Center / 12th & G St NW,31230,W01246,Casual
0h 8m 8s,6/30/2014 0:46,8th & H St NW,31228,6/30/2014 0:54,Metro Center / 12th & G St NW,31230,W20277,Casual
0h 1m 54s,6/30/2014 0:46,California St & Florida Ave NW,31116,6/30/2014 0:48,20th St & Florida Ave NW,31110,W01294,Registered
0h 20m 28s,6/30/2014 0:50,Constitution Ave & 2nd St NW/DOL,31271,6/30/2014 1:10,15th & East Capitol St NE,31630,W00231,Casual
0h 20m 19s,6/30/2014 0:50,Constitution Ave & 2nd St NW/DOL,31271,6/30/2014 1:10,15th & East Capitol St NE,31630,W20844,Casual
0h 5m 40s,6/30/2014 0:50,18th & M St NW,31221,6/30/2014 0:56,17th & Corcoran St NW,31214,W20871,Registered
0h 20m 0s,6/30/2014 0:50,Constitution Ave & 2nd St NW/DOL,31271,6/30/2014 1:10,15th & East Capitol St NE,31630,W01299,Casual
0h 19m 46s,6/30/2014 0:51,Constitution Ave & 2nd St NW/DOL,31271,6/30/2014 1:11,15th & East Capitol St NE,31630,W00107,Casual
0h 6m 47s,6/30/2014 0:52,7th & R St NW / Shaw Library,31245,6/30/2014 0:58,11th & M St NW,31266,W20514,Registered
0h 3m 37s,6/30/2014 0:54,13th & U St NW,31268,6/30/2014 0:58,13th & U St NW,31268,W00380,Registered
0h 25m 40s,6/30/2014 0:54,Metro Center / 12th & G St NW,31230,6/30/2014 1:20,14th & G St NW,31238,W20277,Casual
0h 25m 28s,6/30/2014 0:55,Metro Center / 12th & G St NW,31230,6/30/2014 1:20,14th & G St NW,31238,W01246,Casual
0h 19m 34s,6/30/2014 0:56,Lincoln Memorial,31258,6/30/2014 1:15,Maryland & Independence Ave SW,31243,W00604,Casual
0h 19m 19s,6/30/2014 0:56,Lincoln Memorial,31258,6/30/2014 1:15,Maryland & Independence Ave SW,31243,W20052,Casual
0h 7m 52s,6/30/2014 0:58,17th & K St NW / Farragut Square,31233,6/30/2014 1:05,13th St & New York Ave NW,31227,W00752,Registered
0h 2m 17s,6/30/2014 0:59,Wilson Blvd & Franklin Rd,31020,6/30/2014 1:01,Barton St & 10th St N,31050,w00461,Registered
0h 23m 30s,6/30/2014 1:02,10th & E St NW,31256,6/30/2014 1:26,North Capitol St & F St NW,31624,W20181,Casual
0h 22m 14s,6/30/2014 1:03,10th & E St NW,31256,6/30/2014 1:25,North Capitol St & F St NW,31624,W21532,Casual
0h 41m 35s,6/30/2014 1:04,19th St & Constitution Ave NW,31235,6/30/2014 1:45,14th & Rhode Island Ave NW,31203,W20796,Casual
0h 39m 7s,6/30/2014 1:06,19th St & Constitution Ave NW,31235,6/30/2014 1:45,14th & Rhode Island Ave NW,31203,W20293,Casual
0h 37m 1s,6/30/2014 1:07,19th St & Constitution Ave NW,31235,6/30/2014 1:44,14th & Rhode Island Ave NW,31203,W21078,Casual
0h 13m 9s,6/30/2014 1:09,14th & V St NW,31101,6/30/2014 1:22,4th St & Rhode Island Ave NE,31500,W00731,Registered
0h 34m 14s,6/30/2014 1:11,19th St & Constitution Ave NW,31235,6/30/2014 1:45,14th & Rhode Island Ave NW,31203,W20017,Casual
0h 33m 51s,6/30/2014 1:11,19th St & Constitution Ave NW,31235,6/30/2014 1:45,14th & Rhode Island Ave NW,31203,W01331,Casual
0h 6m 30s,6/30/2014 1:20,Columbia Rd & Belmont St NW,31113,6/30/2014 1:26,17th & Corcoran St NW,31214,W00316,Registered
0h 10m 24s,6/30/2014 1:20,1st & Washington Hospital Center NW,31507,6/30/2014 1:30,Eckington Pl & Q St NE,31505,W00548,Registered
0h 43m 36s,6/30/2014 1:20,California St & Florida Ave NW,31116,6/30/2014 2:04,19th St & Constitution Ave NW,31235,W20440,Casual
0h 38m 46s,6/30/2014 1:25,California St & Florida Ave NW,31116,6/30/2014 2:04,19th St & Constitution Ave NW,31235,W00150,Casual
0h 38m 27s,6/30/2014 1:26,California St & Florida Ave NW,31116,6/30/2014 2:04,19th St & Constitution Ave NW,31235,W00346,Casual
0h 36m 52s,6/30/2014 1:27,California St & Florida Ave NW,31116,6/30/2014 2:04,19th St & Constitution Ave NW,31235,W20720,Casual
0h 1m 37s,6/30/2014 1:27,Calvert St & Woodley Pl NW,31121,6/30/2014 1:29,Calvert & Biltmore St NW,31106,W20764,Registered
0h 7m 14s,6/30/2014 1:37,Columbus Circle / Union Station,31623,6/30/2014 1:44,Lincoln Park / 13th & East Capitol St NE ,31619,W00804,Registered
0h 15m 46s,6/30/2014 1:40,14th & G St NW,31238,6/30/2014 1:56,14th & V St NW,31101,W21272,Registered
0h 12m 4s,6/30/2014 1:52,20th St & Florida Ave NW,31110,6/30/2014 2:04,5th & K St NW,31600,W20322,Registered
0h 8m 17s,6/30/2014 1:55,18th St & Wyoming Ave NW,31114,6/30/2014 2:03,Lamont & Mt Pleasant NW,31107,W21502,Registered
0h 6m 49s,6/30/2014 2:07,24th & N St NW,31255,6/30/2014 2:13,20th & E St NW,31204,W21613,Registered
0h 11m 31s,6/30/2014 2:14,21st & M St NW,31212,6/30/2014 2:26,7th & T St NW,31109,W00043,Registered
0h 9m 41s,6/30/2014 2:19,13th St & New York Ave NW,31227,6/30/2014 2:29,13th & U St NW,31268,W20823,Registered
0h 21m 5s,6/30/2014 2:24,Columbus Circle / Union Station,31623,6/30/2014 2:45,21st St & Constitution Ave NW,31261,W21029,Registered
0h 13m 57s,6/30/2014 2:31,14th & Belmont St NW,31119,6/30/2014 2:45,6th St & Indiana Ave NW,31264,W00821,Registered
0h 2m 26s,6/30/2014 2:33,New Jersey Ave & N St NW/Dunbar HS,31636,6/30/2014 2:35,New Jersey Ave & R St NW,31509,W01238,Registered
0h 39m 23s,6/30/2014 2:40,Adams Mill & Columbia Rd NW,31104,6/30/2014 3:19,14th & Upshur St NW,31406,W20034,Registered
0h 0m 2s,6/30/2014 2:41,10th & U St NW,31111,6/30/2014 2:41,10th & U St NW,31111,W00727,Registered
0h 17m 47s,6/30/2014 2:41,17th & K St NW / Farragut Square,31233,6/30/2014 2:58,Neal St & Trinidad Ave NE,31512,W00327,Registered
0h 16m 44s,6/30/2014 2:41,10th & U St NW,31111,6/30/2014 2:58,Rhode Island Ave Metro,31516,W21092,Registered
0h 38m 26s,6/30/2014 2:46,21st St & Constitution Ave NW,31261,6/30/2014 3:24,N Quincy St & Wilson Blvd,31039,W20792,Registered
0h 10m 50s,6/30/2014 3:04,Adams Mill & Columbia Rd NW,31104,6/30/2014 3:14,Florida Ave & R St NW,31503,W00772,Registered
0h 35m 17s,6/30/2014 3:05,N Pershing Dr & Wayne St,31065,6/30/2014 3:40,N Pershing Dr & Wayne St,31065,W21189,Casual
0h 16m 3s,6/30/2014 3:34,14th & Rhode Island Ave NW,31203,6/30/2014 3:50,D St & Maryland Ave NE,31612,W00443,Registered
0h 26m 40s,6/30/2014 3:38,Columbus Circle / Union Station,31623,6/30/2014 4:04,5th & Kennedy St NW,31403,W21523,Registered
0h 4m 40s,6/30/2014 3:43,5th & K St NW,31600,6/30/2014 3:47,8th & D St NW,31270,W00024,Registered
0h 5m 17s,6/30/2014 3:47,22nd & I St NW / Foggy Bottom,31257,6/30/2014 3:52,C & O Canal & Wisconsin Ave NW,31225,W21538,Registered
0h 21m 48s,6/30/2014 3:50,4th & M St SW,31108,6/30/2014 4:11,22nd & I St NW / Foggy Bottom,31257,W20623,Registered
0h 0m 18s,6/30/2014 3:55,14th & Rhode Island Ave NW,31203,6/30/2014 3:55,14th & Rhode Island Ave NW,31203,W01331,Registered
0h 7m 14s,6/30/2014 4:27,New Hampshire Ave & T St NW,31229,6/30/2014 4:34,7th & T St NW,31109,W20634,Registered
0h 23m 16s,6/30/2014 4:32,10th & U St NW,31111,6/30/2014 4:56,1st & K St SE,31628,W20085,Casual
0h 18m 4s,6/30/2014 4:36,19th & E Street NW,31206,6/30/2014 4:54,Columbus Circle / Union Station,31623,W21131,Casual
0h 2m 58s,6/30/2014 4:54,20th & O St NW / Dupont South,31234,6/30/2014 4:57,19th & L St NW,31224,W00748,Registered
0h 13m 1s,6/30/2014 4:56,S Glebe & Potomac Ave,31010,6/30/2014 5:09,S Joyce & Army Navy Dr,31006,W21640,Registered
0h 10m 30s,6/30/2014 4:56,11th & M St NW,31266,6/30/2014 5:07,1st & Washington Hospital Center NW,31507,W01433,Registered
0h 6m 10s,6/30/2014 4:59,4th & East Capitol St NE,31618,6/30/2014 5:05,M St & New Jersey Ave SE,31208,W20958,Registered
0h 2m 46s,6/30/2014 5:00,3rd & H St NW,31604,6/30/2014 5:03,North Capitol St & F St NW,31624,W20517,Registered
0h 13m 49s,6/30/2014 5:05,14th & R St NW,31202,6/30/2014 5:19,Florida Ave & R St NW,31503,W21666,Registered
0h 29m 31s,6/30/2014 5:07,Potomac Ave & 35th St S,31052,6/30/2014 5:36,Metro Center / 12th & G St NW,31230,W21508,Registered
0h 7m 30s,6/30/2014 5:08,Massachusetts Ave & Dupont Circle NW,31200,6/30/2014 5:15,C & O Canal & Wisconsin Ave NW,31225,W00265,Registered
0h 5m 51s,6/30/2014 5:11,1st & M St NE,31603,6/30/2014 5:17,Columbus Circle / Union Station,31623,W21402,Registered
0h 27m 5s,6/30/2014 5:14,Georgia & New Hampshire Ave NW,31400,6/30/2014 5:41,22nd & I St NW / Foggy Bottom,31257,W00301,Registered
0h 13m 34s,6/30/2014 5:14,5th St & Massachusetts Ave NW,31265,6/30/2014 5:28,Georgetown Harbor / 30th St NW,31215,W21517,Registered
0h 15m 12s,6/30/2014 5:15,1st & Rhode Island Ave NW,31506,6/30/2014 5:30,14th & Rhode Island Ave NW,31203,W00103,Registered
0h 11m 28s,6/30/2014 5:15,Park Rd & Holmead Pl NW,31602,6/30/2014 5:26,18th & M St NW,31221,W21490,Registered
0h 15m 57s,6/30/2014 5:15,11th & H St NE,31614,6/30/2014 5:31,17th & Rhode Island Ave NW,31239,W21710,Registered
0h 2m 31s,6/30/2014 5:16,Carroll & Ethan Allen Ave,32026,6/30/2014 5:18,Carroll & Westmoreland Ave,32025,W20810,Registered
0h 4m 53s,6/30/2014 5:19,1st & M St NE,31603,6/30/2014 5:24,North Capitol St & F St NW,31624,W01224,Registered
0h 18m 0s,6/30/2014 5:20,15th & Euclid St  NW,31117,6/30/2014 5:38,17th St & Massachusetts Ave NW,31267,W21555,Registered
0h 10m 42s,6/30/2014 5:21,11th & Kenyon St NW,31102,6/30/2014 5:31,Massachusetts Ave & Dupont Circle NW,31200,W21341,Registered
0h 9m 9s,6/30/2014 5:21,14th & Belmont St NW,31119,6/30/2014 5:30,14th & Rhode Island Ave NW,31203,W20253,Registered
0h 5m 26s,6/30/2014 5:21,Connecticut & Nebraska Ave NW,31310,6/30/2014 5:27,Van Ness Metro / UDC,31300,W00100,Registered
0h 7m 37s,6/30/2014 5:22,Columbia Pike & S Courthouse Rd,31053,6/30/2014 5:30,Thomas Jefferson Cmty Ctr / 2nd St S & Ivy,31074,W20011,Registered
0h 3m 23s,6/30/2014 5:23,L'Enfant Plaza / 7th & C St SW,31218,6/30/2014 5:26,USDA / 12th & Independence Ave SW,31217,W21311,Registered
0h 21m 52s,6/30/2014 5:23,Anacostia Ave & Benning Rd NE / River Terrace ,31708,6/30/2014 5:45,17th & K St NW,31213,W20885,Registered
0h 26m 36s,6/30/2014 5:25,18th St & Rhode Island Ave NE,31510,6/30/2014 5:52,Washington & Independence Ave SW/HHS,31272,W21604,Registered
0h 22m 50s,6/30/2014 5:25,20th St & Florida Ave NW,31110,6/30/2014 5:48,Jefferson Memorial,31249,W20940,Registered
0h 23m 57s,6/30/2014 5:26,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,6/30/2014 5:50,10th & Monroe St NE,31504,W21575,Registered
0h 43m 55s,6/30/2014 5:27,22nd & I St NW / Foggy Bottom,31257,6/30/2014 6:11,15th St & Massachusetts Ave SE,31626,W00639,Casual
0h 0m 35s,6/30/2014 5:28,15th & Euclid St  NW,31117,6/30/2014 5:28,15th & Euclid St  NW,31117,W00139,Registered
0h 7m 35s,6/30/2014 5:29,Columbus Circle / Union Station,31623,6/30/2014 5:36,10th St & Constitution Ave NW,31219,W21590,Registered
0h 9m 53s,6/30/2014 5:29,Columbus Circle / Union Station,31623,6/30/2014 5:39,3rd & Tingey St SE,31634,W20852,Registered
0h 4m 41s,6/30/2014 5:29,15th & Euclid St  NW,31117,6/30/2014 5:34,Calvert St & Woodley Pl NW,31121,W20842,Registered
0h 16m 36s,6/30/2014 5:30,North Capitol St & G Pl NE,31637,6/30/2014 5:46,17th & K St NW / Farragut Square,31233,W00522,Registered
0h 7m 9s,6/30/2014 5:30,18th St & Wyoming Ave NW,31114,6/30/2014 5:37,14th & Rhode Island Ave NW,31203,W21309,Registered
0h 20m 32s,6/30/2014 5:30,Potomac & Pennsylvania Ave SE,31606,6/30/2014 5:51,1st & M St NE,31603,W20290,Casual
0h 10m 7s,6/30/2014 5:31,1st & Rhode Island Ave NW,31506,6/30/2014 5:41,3rd & H St NE,31616,W20414,Registered
0h 10m 19s,6/30/2014 5:32,Columbia Rd & Belmont St NW,31113,6/30/2014 5:42,Georgetown Harbor / 30th St NW,31215,W21123,Registered
0h 9m 29s,6/30/2014 5:32,Columbia Rd & Belmont St NW,31113,6/30/2014 5:42,Georgetown Harbor / 30th St NW,31215,W20316,Registered
0h 6m 56s,6/30/2014 5:33,Thomas Circle,31241,6/30/2014 5:40,24th & N St NW,31255,W01419,Registered
0h 8m 1s,6/30/2014 5:35,New Jersey Ave & R St NW,31509,6/30/2014 5:43,North Capitol St & F St NW,31624,W21572,Registered
0h 22m 19s,6/30/2014 5:35,5th St & Massachusetts Ave NW,31265,6/30/2014 5:58,24th & N St NW,31255,W00036,Casual
0h 7m 1s,6/30/2014 5:35,20th & O St NW / Dupont South,31234,6/30/2014 5:42,20th & E St NW,31204,W20849,Registered
0h 3m 23s,6/30/2014 5:37,4th & M St SW,31108,6/30/2014 5:40,4th & E St SW,31244,W01203,Registered
0h 7m 51s,6/30/2014 5:37,13th St & New York Ave NW,31227,6/30/2014 5:45,1st & H St NW,31638,W00752,Registered
0h 16m 49s,6/30/2014 5:39,14th St & Spring Rd NW,31401,6/30/2014 5:56,24th & N St NW,31255,W21017,Registered
0h 3m 34s,6/30/2014 5:40,19th & L St NW,31224,6/30/2014 5:44,20th & O St NW / Dupont South,31234,W00748,Registered
0h 16m 25s,6/30/2014 5:41,Virginia Square Metro / N Monroe St & 9th St N,31024,6/30/2014 5:57,Georgetown Harbor / 30th St NW,31215,W21495,Registered
0h 21m 6s,6/30/2014 5:41,Wisconsin Ave & O St NW,31312,6/30/2014 6:02,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,W20758,Registered
0h 24m 27s,6/30/2014 5:43,Deanwood Rec Center,31711,6/30/2014 6:07,Eckington Pl & Q St NE,31505,W01160,Registered
0h 14m 22s,6/30/2014 5:43,Park Rd & Holmead Pl NW,31602,6/30/2014 5:58,22nd & I St NW / Foggy Bottom,31257,W20474,Registered
0h 4m 29s,6/30/2014 5:43,25th St & Pennsylvania Ave NW,31237,6/30/2014 5:48,20th & O St NW / Dupont South,31234,W21605,Registered
0h 7m 17s,6/30/2014 5:45,15th & F St NE,31632,6/30/2014 5:52,Columbus Circle / Union Station,31623,W00896,Registered
0h 3m 5s,6/30/2014 5:46,Lamont & Mt Pleasant NW,31107,6/30/2014 5:49,16th & Harvard St NW,31103,W00159,Registered
0h 7m 8s,6/30/2014 5:47,6th & H St NE,31615,6/30/2014 5:55,4th & East Capitol St NE,31618,W00608,Registered
0h 12m 26s,6/30/2014 5:50,Massachusetts Ave & Dupont Circle NW,31200,6/30/2014 6:02,7th & F St NW / National Portrait Gallery,31232,W01195,Registered
0h 26m 33s,6/30/2014 5:50,47th & Elm St,32021,6/30/2014 6:16,21st & M St NW,31212,W21015,Registered
0h 8m 6s,6/30/2014 5:50,Columbia Rd & Belmont St NW,31113,6/30/2014 5:58,19th St & Pennsylvania Ave NW,31100,W00966,Registered
0h 19m 54s,6/30/2014 5:51,17th & K St NW / Farragut Square,31233,6/30/2014 6:11,Lincoln Memorial,31258,W00942,Casual
0h 8m 25s,6/30/2014 5:51,Thomas Circle,31241,6/30/2014 5:59,US Dept of State / Virginia Ave & 21st St NW,31220,W01131,Registered
0h 6m 33s,6/30/2014 5:51,7th & T St NW,31109,6/30/2014 5:58,New Hampshire Ave & T St NW,31229,W00043,Registered
0h 4m 21s,6/30/2014 5:52,4th & East Capitol St NE,31618,6/30/2014 5:56,3rd & G St SE,31625,W21192,Registered
0h 2m 22s,6/30/2014 5:52,California St & Florida Ave NW,31116,6/30/2014 5:54,20th St & Florida Ave NW,31110,W20832,Registered
0h 7m 40s,6/30/2014 5:52,11th & M St NW,31266,6/30/2014 6:00,20th & L St NW,31250,W21389,Registered
0h 10m 7s,6/30/2014 5:53,20th & E St NW,31204,6/30/2014 6:03,Massachusetts Ave & Dupont Circle NW,31200,W21613,Registered
0h 6m 42s,6/30/2014 5:53,Pershing & N George Mason Dr,31069,6/30/2014 5:59,Virginia Square Metro / N Monroe St & 9th St N,31024,W01211,Registered
0h 4m 41s,6/30/2014 5:53,15th & Euclid St  NW,31117,6/30/2014 5:58,14th & R St NW,31202,W21250,Registered
0h 18m 43s,6/30/2014 5:54,14th & Upshur St NW,31406,6/30/2014 6:13,17th & Rhode Island Ave NW,31239,W01095,Registered
0h 13m 39s,6/30/2014 5:55,1st & M St NE,31603,6/30/2014 6:08,4th & M St SW,31108,W20290,Registered
0h 17m 49s,6/30/2014 5:55,Arlington Blvd & N Queen St,31051,6/30/2014 6:13,Metro Center / 12th & G St NW,31230,W21542,Registered
0h 10m 2s,6/30/2014 5:55,Calvert St & Woodley Pl NW,31121,6/30/2014 6:05,17th St & Massachusetts Ave NW,31267,W20817,Registered
0h 5m 15s,6/30/2014 5:55,11th & H St NE,31614,6/30/2014 6:00,Columbus Circle / Union Station,31623,W20605,Registered
0h 4m 46s,6/30/2014 5:55,3rd & H St NE,31616,6/30/2014 6:00,11th & H St NE,31614,W00582,Registered
0h 35m 11s,6/30/2014 5:55,15th & Crystal Dr,31003,6/30/2014 6:30,6th & H St NE,31615,W21468,Registered
0h 4m 17s,6/30/2014 5:56,5th St & Massachusetts Ave NW,31265,6/30/2014 6:00,4th & D St NW / Judiciary Square,31621,W00084,Registered
0h 17m 29s,6/30/2014 5:56,Columbia Rd & Georgia Ave NW,31115,6/30/2014 6:13,8th & F St NE,31631,W00842,Registered
0h 12m 40s,6/30/2014 5:56,5th & K St NW,31600,6/30/2014 6:09,Massachusetts Ave & Dupont Circle NW,31200,W20322,Registered
0h 2m 38s,6/30/2014 5:57,Lincoln Park / 13th & East Capitol St NE ,31619,6/30/2014 5:59,15th St & Massachusetts Ave SE,31626,W00650,Registered
